visitor,home,gametime,channel

Fairfield,Marist,2024-03-01 6:00 PM CST,ESPNU,
Mount St. Mary's,Canisius,2024-03-01 6:00 PM CST,ESPN+,
Florida Gulf Coast,Jacksonville,2024-03-01 6:00 PM CST,ESPN+,
Dartmouth,Yale,2024-03-01 6:00 PM CST,ESPN+,
Marshall,Georgia State,2024-03-01 6:00 PM CST,ESPN+,
Old Dominion,Georgia Southern,2024-03-01 6:00 PM CST,ESPN+,
Harvard,Brown,2024-03-01 6:00 PM CST,ESPN+,
Stetson,North Florida,2024-03-01 6:00 PM CST,ESPN+,
Kennesaw State,Queens University,2024-03-01 6:00 PM CST,ESPN+,
James Madison,Coastal Carolina,2024-03-01 6:30 PM CST,ESPN+,
North Alabama,Central Arkansas,2024-03-01 6:30 PM CST,ESPN+,
Cornell,Pennsylvania,2024-03-01 7:00 PM CST,ESPN+,
Columbia,Princeton,2024-03-01 7:00 PM CST,ESPN+,
UL Monroe,South Alabama,2024-03-01 7:00 PM CST,ESPN+,
Eastern Kentucky,Lipscomb,2024-03-01 7:00 PM CST,ESPN+,
Bellarmine,Austin Peay,2024-03-01 7:00 PM CST,ESPN+,
Troy,Texas State,2024-03-01 7:15 PM CST,ESPN+,
Southern Miss,Louisiana,2024-03-01 7:30 PM CST,ESPN+,
Dayton,Loyola Chicago,2024-03-01 8:00 PM CST,ESPN2,
Fresno State,Nevada,2024-03-01 9:30 PM CST,CBSSN,
Air Force,Utah State,2024-03-01 10:00 PM CST,FS1,
Florida,South Carolina,2024-03-01 11:00 AM CST,ESPN,
Florida State,Georgia Tech,2024-03-01 11:00 AM CST,ESPN2,
Tulane,Florida Atlantic,2024-03-01 11:00 AM CST,ESPNU,
Villanova,Providence,2024-03-01 11:00 AM CST,FOX,
Butler,DePaul,2024-03-01 11:00 AM CST,FS1,
Colgate,Lehigh,2024-03-01 11:00 AM CST,CBSSN,
Holy Cross,Boston University,2024-03-01 11:00 AM CST,,
Fordham,Saint Joseph's,2024-03-01 11:30 AM CST,ESPN+,
Kansas,Baylor,2024-03-01 12:00 PM CST,ABC,
Illinois,Wisconsin,2024-03-01 12:00 PM CST,BTN,
Tulsa,Temple,2024-03-01 12:00 PM CST,ESPN+,
Monmouth,Elon,2024-03-01 12:00 PM CST,,
Stonehill,Central Connecticut,2024-03-01 12:00 PM CST,,
Miami (OH),Eastern Michigan,2024-03-01 12:00 PM CST,ESPN+,
Wofford,VMI,2024-03-01 12:00 PM CST,ESPN+,
Arkansas,Kentucky,2024-03-01 12:30 PM CST,CBS,
Oregon,Arizona,2024-03-01 1:00 PM CST,ESPN,
Oklahoma State,Texas,2024-03-01 1:00 PM CST,ESPN2,
UNC Asheville,Radford,2024-03-01 1:00 PM CST,ESPN+,
Gardner-Webb,Winthrop,2024-03-01 1:00 PM CST,ESPN+,
Charleston Southern,Presbyterian,2024-03-01 1:00 PM CST,ESPN+,
Towson,UNC Wilmington,2024-03-01 1:00 PM CST,CBSSN,
Hofstra,Charleston,2024-03-01 1:00 PM CST,,
Hampton,William & Mary,2024-03-01 1:00 PM CST,,
Navy,American University,2024-03-01 1:00 PM CST,ESPN+,
George Washington,La Salle,2024-03-01 1:00 PM CST,ESPN+,
Duquesne,George Mason,2024-03-01 1:00 PM CST,ESPN+,
Merrimack,Sacred Heart,2024-03-01 1:00 PM CST,,
Western Michigan,Ball State,2024-03-01 1:00 PM CST,ESPN+,
Toledo,Buffalo,2024-03-01 1:00 PM CST,ESPN+,
Mercer,Furman,2024-03-01 1:00 PM CST,ESPN+,
Western Carolina,Chattanooga,2024-03-01 1:00 PM CST,ESPN+,
New Hampshire,Binghamton,2024-03-01 1:00 PM CST,ESPN+,
South Dakota,North Dakota,2024-03-01 1:00 PM CST,,
South Dakota State,North Dakota State,2024-03-01 1:00 PM CST,,
Marquette,Creighton,2024-03-01 1:30 PM CST,FOX,
Massachusetts,Davidson,2024-03-01 1:30 PM CST,USA Net,
UTSA,SMU,2024-03-01 2:00 PM CST,ESPN+,
The Citadel,Samford,2024-03-01 2:00 PM CST,ESPN+,
UMass Lowell,Vermont,2024-03-01 2:00 PM CST,ESPN+,
Penn State,Minnesota,2024-03-01 2:15 PM CST,BTN,
LSU,Vanderbilt,2024-03-01 2:30 PM CST,SECN,
Central Michigan,Kent State,2024-03-01 2:30 PM CST,ESPN+,
Lindenwood,Morehead State,2024-03-01 2:30 PM CST,ESPN+,
Bethune-Cookman,Southern,2024-03-01 2:30 PM CST,,
Iowa State,UCF,2024-03-01 3:00 PM CST,ESPN+,
NC State,North Carolina,2024-03-01 3:00 PM CST,ESPN,
Mississippi State,Auburn,2024-03-01 3:00 PM CST,ESPN2,
South Florida,Charlotte,2024-03-01 3:00 PM CST,ESPN+,
USC,Washington,2024-03-01 3:00 PM CST,CBS,
Howard,Maryland-Eastern Shore,2024-03-01 3:00 PM CST,,
Wyoming,Colorado State,2024-03-01 3:00 PM CST,,
Northeastern,Drexel,2024-03-01 3:00 PM CST,,
North Carolina A&T,Campbell,2024-03-01 3:00 PM CST,,
Delaware,Stony Brook,2024-03-01 3:00 PM CST,,
Saint Louis,Rhode Island,2024-03-01 3:00 PM CST,CBSSN,
Norfolk State,Delaware State,2024-03-01 3:00 PM CST,,
North Carolina Central,Coppin State,2024-03-01 3:00 PM CST,ESPN+,
Le Moyne,St. Francis (PA),2024-03-01 3:00 PM CST,,
UNC Greensboro,East Tennessee State,2024-03-01 3:00 PM CST,ESPN+,
Tennessee Tech,Little Rock,2024-03-01 3:00 PM CST,ESPN+,
NJIT,Bryant,2024-03-01 3:00 PM CST,ESPN+,
Maine,UAlbany,2024-03-01 3:00 PM CST,ESPN+,
Lamar,Northwestern State,2024-03-01 3:00 PM CST,ESPN+,
UT Arlington,Utah Valley,2024-03-01 3:00 PM CST,ESPN+,
Northern Arizona,Weber State,2024-03-01 3:00 PM CST,ESPN+,
Montana,Idaho,2024-03-01 3:00 PM CST,ESPN+,
South Carolina State,Morgan State,2024-03-01 3:30 PM CST,,
High Point,Longwood,2024-03-01 3:30 PM CST,ESPN+,
Fairleigh Dickinson,Wagner,2024-03-01 3:30 PM CST,,
Tennessee State,UT Martin,2024-03-01 3:30 PM CST,ESPN+,
SIU Edwardsville,Western Illinois,2024-03-01 3:30 PM CST,ESPN+,
SE Louisiana,Texas A&M-Corpus Christi,2024-03-01 3:30 PM CST,ESPN+,
Texas A&M-Commerce,Houston Christian,2024-03-01 3:30 PM CST,ESPN+,
Alabama State,Alabama A&M,2024-03-01 4:00 PM CST,,
Florida A&M,Grambling,2024-03-01 4:00 PM CST,,
Army,Loyola Maryland,2024-03-01 4:00 PM CST,ESPN+,
Nicholls,McNeese,2024-03-01 4:00 PM CST,ESPN+,
New Mexico State,Jacksonville State,2024-03-01 4:00 PM CST,ESPN+,
Portland State,Sacramento State,2024-03-01 4:00 PM CST,ESPN+,
Montana State,Eastern Washington,2024-03-01 4:00 PM CST,ESPN+,
Wake Forest,Virginia Tech,2024-03-01 4:30 PM CST,CW,
Iowa,Northwestern,2024-03-01 4:30 PM CST,BTN,
Virginia,Duke,2024-03-01 5:00 PM CST,ESPN,
IUPUI,Cleveland State,2024-03-01 5:00 PM CST,ESPN+,
Pittsburgh,Boston College,2024-03-01 5:00 PM CST,ACCN,
Texas Tech,West Virginia,2024-03-01 5:00 PM CST,ESPN2,
Texas A&M,Georgia,2024-03-01 5:00 PM CST,SECN,
VCU,Richmond,2024-03-01 5:00 PM CST,CBSSN,
Northern Illinois,Akron,2024-03-01 5:00 PM CST,ESPN+,
Green Bay,Milwaukee,2024-03-01 5:00 PM CST,ESPNU,
Detroit,Oakland,2024-03-01 5:00 PM CST,ESPN+,
Jackson State,Texas Southern,2024-03-01 5:00 PM CST,,
New Orleans,Incarnate Word,2024-03-01 5:00 PM CST,ESPN+,
Dartmouth,Brown,2024-03-01 5:00 PM CST,ESPN+,
Western Kentucky,Florida International,2024-03-01 5:00 PM CST,ESPN+,
Mississippi Valley State,Arkansas-Pine Bluff,2024-03-01 5:30 PM CST,,
Alcorn State,Prairie View A&M,2024-03-01 5:30 PM CST,,
UCLA,Washington State,2024-03-01 6:00 PM CST,PAC12,
Kansas State,Cincinnati,2024-03-01 6:00 PM CST,ESPN+,
Rice,Wichita State,2024-03-01 6:00 PM CST,ESPN+,
Lafayette,Bucknell,2024-03-01 6:00 PM CST,ESPN+,
San Francisco,Santa Clara,2024-03-01 6:00 PM CST,ESPN+,
Columbia,Pennsylvania,2024-03-01 6:00 PM CST,ESPN+,
Robert Morris,Purdue Fort Wayne,2024-03-01 6:00 PM CST,ESPN+,
Northern Kentucky,Wright State,2024-03-01 6:00 PM CST,ESPN+,
Cornell,Princeton,2024-03-01 6:00 PM CST,ESPN+,
Harvard,Yale,2024-03-01 6:00 PM CST,ESPN+,
UTEP,Liberty,2024-03-01 6:00 PM CST,ESPN+,
Xavier,Georgetown,2024-03-01 6:30 PM CST,FS1,
Clemson,Notre Dame,2024-03-01 6:45 PM CST,CW,
Houston,Oklahoma,2024-03-01 7:00 PM CST,ESPN2,
Michigan State,Purdue,2024-03-01 7:00 PM CST,FOX,
Tennessee,Alabama,2024-03-01 7:00 PM CST,ESPN,
Syracuse,Louisville,2024-03-01 7:00 PM CST,ACCN,
New Mexico,Boise State,2024-03-01 7:00 PM CST,CBSSN,
Loyola Marymount,Portland,2024-03-01 7:00 PM CST,ESPN+,
Denver,St. Thomas-Minnesota,2024-03-01 7:00 PM CST,,
UT Rio Grande Valley,California Baptist,2024-03-01 7:00 PM CST,ESPN+,
Middle Tennessee,Sam Houston,2024-03-01 7:00 PM CST,ESPNU,
UC San Diego,Cal State Northridge,2024-03-01 7:00 PM CST,ESPN+,
Hawaii,UC Riverside,2024-03-01 7:00 PM CST,ESPN+,
Northern Colorado,Idaho State,2024-03-01 7:00 PM CST,ESPN+,
Ole Miss,Missouri,2024-03-01 7:30 PM CST,SECN,
Southeast Missouri State,Southern Indiana,2024-03-01 7:30 PM CST,ESPN+,
Tarleton State,Southern Utah,2024-03-01 7:30 PM CST,ESPN+,
California,Utah,2024-03-01 8:00 PM CST,PAC12,
TCU,BYU,2024-03-01 8:00 PM CST,ESPN+,
Abilene Christian,Utah Tech,2024-03-01 8:00 PM CST,ESPN+,
UC Santa Barbara,Cal State Fullerton,2024-03-01 8:00 PM CST,ESPN+,
Gonzaga,Saint Mary's,2024-03-01 9:00 PM CST,ESPN,
San José State,UNLV,2024-03-01 9:00 PM CST,CBSSN,
Pacific,San Diego,2024-03-01 9:00 PM CST,ESPN+,
Stephen F. Austin,Grand Canyon,2024-03-01 9:00 PM CST,ESPNU,
Cal State Bakersfield,Cal Poly,2024-03-01 9:00 PM CST,ESPN+,
Long Beach State,UC Irvine,2024-03-01 9:00 PM CST,ESPN2,
Seton Hall,UConn,2024-03-03 11:00 CST,CBS
Rider,Canisius,2024-03-03 12:00 CST,ESPN+
Illinois State,Valparaiso,2024-03-03 13:00 CST,ESPN+
Northern Iowa,Southern Illinois,2024-03-03 13:00 CST,ESPN+
UIC,Missouri State,2024-03-03 13:00 CST,ESPN+
Indiana,Maryland,2024-03-03 13:00 CST,CBS
Manhattan,Saint Peter's,2024-03-03 13:00 CST,ESPN+
Siena,Quinnipiac,2024-03-03 13:00 CST,ESPN+
Mount St. Mary's,Niagara,2024-03-03 13:00 CST,ESPN+
Iona,Marist,2024-03-03 13:00 CST,ESPN+
East Carolina,North Texas,2024-03-03 14:00 CST,ESPN+
Kansas City,Oral Roberts,2024-03-03 14:00 CST,
Bradley,Drake,2024-03-03 14:30 CST,ESPN2
Murray State,Indiana State,2024-03-03 15:00 CST,ESPN+
Michigan,Ohio State,2024-03-03 15:00 CST,CBS
Evansville,Belmont,2024-03-03 16:00 CST,ESPN+
UAB,Memphis,2024-03-03 16:30 CST,ESPN2
Rutgers,Nebraska,2024-03-03 17:30 CST,BTN
Stanford,Colorado,2024-03-03 20:00 CST,FS1
