team_name,name,stadium_id,surface,capacity,geo_lat,geo_lng
UMass,McGuirk Alumni Stadium,800,2,17000,42.37746116608531, -72.53566498191027
Army,Michie Stadium,760,1,40000,41.38768163804117, -73.96357726672518
Notre Dame,Notre Dame Stadium,771,2,80795,41.69867041344606, -86.23339027386581
Tulsa,Skelly Field at H.A. Chapman Stadium,735,2,30000,36.1490408709239, -95.94332763523384
Memphis,Liberty Bowl,739,1,58325,35.121201722416465, -89.9769339615214
East Carolina,Dowdy-Ficklen Stadium,728,0,51000,35.596731183972835, -77.36438369005283
South Florida,Raymond James Stadium,736,0,44441,27.976134359423014, -82.5027872205777
Temple,Lincoln Financial Field,695,0,68532,39.901608133444256, -75.16687775776705
Houston,TDECU Stadium,758,2,40000,29.722220247119118, -95.34832641188864
Tulane,Yulman Stadium,786,2,30000,29.944829779580687, -90.11630575507755
SMU,Gerald J. Ford Stadium,804,0,32000,32.837967256445346, -96.7822017661296
UConn,Rentschler Field,679,0,38000,41.76020503964528, -72.61802061738221
Cincinnati,Nippert Stadium,678,2,40000,39.13143533258149, -84.51580383719187
Navy,Navy-Marine Corps Memorial Stadium,703,2,35000,38.984905639436995, -76.50638494702031
Central Florida,Bounce House,737,0,45301,28.60832750159304, -81.19325260118919
Buffalo,UB Stadium,693,3,25013,42.99929627267462, -78.77715885525733
Bowling Green,Doyt Perry Stadium,767,2,24000,41.37813209934527, -83.62171678668975
Ohio,Peden Stadium,720,2,24000,39.32114924941655, -82.10254599808574
Northern Illinois,Huskie Stadium,799,2,24000,41.93406230391151, -88.77726706541871
Kent State,Dix Stadium,834,2,25319,41.13919441009341, -81.31318902256403
Central Michigan,Kelly/Shorts Stadium,676,2,30255,43.57778956732671, -84.77030372027741
Western Michigan,Waldo Stadium,780,3,30200,42.28612241964707, -85.5996730169421
Eastern Michigan,Rynearson Stadium,691,2,30200,42.256019784784414, -83.64651344239385
Toledo,Glass Bowl,781,3,26248,41.6574821414537, -83.61292712997016
Ball State,Scheumann Stadium,798,2,22500,40.21609391774186, -85.41635819507184
Miami Ohio,Yager Stadium,768,3,30012,39.51971718153434, -84.73249800885344
Akron,InfoCision Stadium,732,0,30000,41.072685507599175, -81.50788072586283
Hawaii,Aloha Stadium,793,2,50000,21.37303145480822, -157.92930694709162
San Diego State,Snapdragon Stadium,873,0,35000,32.7845044353207, -117.12287823108865
New Mexico,University Stadium,688,0,40000,35.067142090021655, -106.62788040068105
Boise State,Albertsons Stadium,791,2,36387,43.60294534764958, -116.19540445427536
UNLV,Allegiant Stadium,868,2,65000,36.090979155831114, -115.18274283690319
Wyoming,War Memorial Stadium,754,2,29181,41.31188073341094, -105.56749075519484
