visitor,home,time,channel,date
Minnesota,Angels,8:07 PM,,2021-04-17
Houston,Seattle,8:10 PM,,2021-04-17
Arizona,Washington,12:05 PM,,2021-04-18
St. Louis,Philadelphia,12:05 PM,,2021-04-18
Tampa Bay,Yankees,12:05 PM,ESPN+,2021-04-18
White Sox,Boston,12:10 PM,,2021-04-18
Cleveland,Cincinnati,12:10 PM,,2021-04-18
San Francisco,Miami,12:10 PM,,2021-04-18
Pittsburgh,Milwaukee,1:10 PM,,2021-04-18
Toronto,Kansas City,1:10 PM,,2021-04-18
Baltimore,Texas,1:35 PM,,2021-04-18
Mets,Colorado,2:10 PM,,2021-04-18
Detroit,Oakland,3:07 PM,,2021-04-18
Minnesota,Angels,3:07 PM,,2021-04-18
Houston,Seattle,3:10 PM,,2021-04-18
Dodgers,San Diego,3:10 PM,,2021-04-18
Atlanta,Cubs,6:08 PM,ESPN,2021-04-18
White Sox,Boston,10:10 AM,,2021-04-19
San Francisco,Philadelphia,6:05 PM,,2021-04-19
St. Louis,Washington,6:05 PM,,2021-04-19
Tampa Bay,Kansas City,7:10 PM,,2021-04-19
Texas,Angels,8:38 PM,,2021-04-19
Minnesota,Oakland,8:40 PM,,2021-04-19
Dodgers,Seattle,9:10 PM,ESPN+,2021-04-19
Milwaukee,San Diego,9:10 PM,,2021-04-19
